Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA ,IP-SOLVENTE-1-PAI,UN,225,0,0.0,0,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Amarelo,IP995,UN,225,0,13.0,135.75,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Cyan,IP993,UN,225,0,14.0,135.51,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Magenta,IP994,UN,225,0,15.0,135.71,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Preto,IP996,UN,225,0,10.0,135.5,servi
" Adesivo Prata Inox Geladeira Fogão Moveis 1,50m X 0,70 Cm ",IP47-150,,44.02,0,155.0,16.4,servi
" Adesivo Prata Inox Geladeira Fogão Moveis 2 M X 0,70 Cm ",IP47-2,UN,46.06,0,116.0,21.86,servi
" Black Piano Envelopamento Teto Capô Carro 2mx1,22m+espatula",181611395040,un,88.98,0,86.0,30.61,servi
"10 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc",IP607-10,UN,273.49,0,45.0,0,servi
"10 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,50mm",IP740-10,UN,370.5,0,16.0,166.6,servi
10 Espátulas Flexível Aplicação Envelopamento E Adesivos,IP172-10,UN,99.58,0,147.0,9.33,servi
10 Faixas Refletivas Lateral Avery Caminhão Vã Denatran ,MLB3284351541,UN,47.76,0,0.0,0,servi
10 Faixas Refletivas Lateral Avery Caminhão Vã Denatran  - Vermelho/Branco,IP968-10,UN,47.76,0,63.0,16.33,servi
10 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-10,UN,380,0,37.0,151.97,servi
10 Lâminas De Plástico Para Ratinho Raspador,MLB3582535925,UN,28.2,0,0.0,0,servi
10 Lâminas De Plástico Para Ratinho Raspador - Lamina de plástico para ratinho,KIT-IP224-10,UN,28.2,0,39.0,2.1,servi
"10 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira",MLB2762809910,UN,197.69,0,0.0,0,servi
"10 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - incolor",IP966-10,UN,197.69,0,11.0,0,servi
10 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo,IP181-10,UN,20,0,72.0,6.5,servi
10 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-10,UN,350,0,39.0,98.43,servi
10 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-10,UN,380,0,3.0,349.58,servi
10 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-10,UN,230,0,35.0,73.6,servi
100 Laminas Adesivo Insufilm 9mm Aço Carbono Norma One Way,MLB2158686719,UN,123.57,0,0.0,0,servi
100 Laminas Adesivo Insufilm 9mm Aço Carbono Norma One Way - 10 TUBINHOS C- 10 LAMINA CADA TUBO,IP153-10,UN,123.57,0,37.0,56.33,servi
11 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-11,UN,130,0,73.0,40.37,servi
"12 Chapas Placa Ps Poliestireno 1,20m X 60cm 1 Mm Pvc Branco",IP904-12,,268.43,0,27.0,0,servi
12 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-12,UN,145,0,67.0,44.04,servi
13 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-13,UN,156,0,62.0,47.71,servi
14Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-14,UN,154,0,58.0,51.38,servi
"15 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-15,UN,30.08,0,29.0,0,servi
15 Fita Dupla Face Saint Gobain Para Acm 20 Metros 12mmx20mt,IP471-15,UN,505,0,26.0,147.64,servi
15 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo,IP181-15,UN,30,0,49.0,9.75,servi
16 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-16,UN,176,0,50.0,58.72,servi
17 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-17,UN,180,0,47.0,62.39,servi
18 Colas Vinil Extra 75g Brascola - Pvc Lona Faixa Banner,IP154-18,UN,160,0,44.0,66.06,servi
19 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-19,UN,190,0,42.0,69.73,servi
2  Espátula Profissional Boomer Neon Joker Código : 5569,IP1202-2,UN,130,0,0.0,0,servi
2 Chapa De Ps 1 Mm Poliestireno Cor Preta Tamanho 2x1 Psai,IP1100-2,UN,127.68,0,99.0,44.46,servi
"2 Chapa De Ps 2mm Poliestireno Preta Tamanho 1,30x3,00 Psai",IP593-2,UN,399.38,0,49.0,172.58,servi
"2 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-2,UN,58.79,0,225.0,0,servi
"2 Chapa Placa Ps Poliestireno 1,20m X 60cm 1 Mm Pvc Branco",IP904-2,UN,67.9,0,162.0,0,servi
"2 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-2,UN,104.32,0,244.0,0,servi
"2 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-2,UN,62.74,0,37.0,19.48,servi
"2 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,50mm",IP740-2,UN,100.61,0,78.0,33.32,servi
2 Chapa Ps Branco 2 Mm 2x1 Comunicacao Visual Placas,IP33-2,UN,270,0,1.0,95.91,servi
"2 Cola Vinil Para Piscina, Lonas E Toldos - Lata 750 Gr",MLB2894792663,UN,147.25,0,0.0,0,servi
"2 Cola Vinil Para Piscina, Lonas E Toldos - Lata 750 Gr - BRASCOPREN BR 800 PVC",IP155-2,UN,142.5,0,13.0,40.98,servi
2 Colas Para Chapas De Ps Pvc Poliestireno 900 Ml Sulcolor,IP1116-2,UN,133,0,4.0,53.54,servi
2 Espátula Com Feltro Para Envelopamento De Adesivo,MLB1794673106,UN,21.24,0,0.0,0,servi
2 Espátula Com Feltro Para Envelopamento De Adesivo - ESPATULA VARIAS CORES C-FELTRO ORAMA,KIT-172-39-2,UN,21.24,0,503.0,4.18,servi
2 Espátula Magnética Magfluor  Pink Rígida - Joker,IP1066-2,UN,105,0,1.0,44.52,servi
2 Espatulas Para Envelopamento Guia De Corte 90 Graus Joker,MLB4656769922,UN,110,0,0.0,0,servi
2 Espatulas Para Envelopamento Guia De Corte 90 Graus Joker - COD4036 RONEK,IP775-2,UN,110,0,20.0,42.92,servi
2 Estiletes De Segurança Bico De Pato Norma Bp22,IP1089-2,UN,111.15,0,16.0,59.4,servi
2 Estiletes Essencial Profissional Norma L440 18 Mm,IP1086-2,UN,24.6,0,8.0,15.66,servi
2 Estiletes Essencial Profissional Norma L460 18 Mm,IP1088-2,UN,47.5,0,7.0,23.58,servi
2 Estiletes Profissional Norma C/trava De Rosca L450 18 Mm,IP1087-2,UN,46.5,0,6.0,23.58,servi
2 Faixas Refletiva P Parachoque De Caminhãoaprovado Avery,MLB3452725368,UN,142.56,0,0.0,0,servi
2 Faixas Refletiva P Parachoque De Caminhãoaprovado Avery - Vermelho/Branco,IP969-2,UN,142.56,0,5.0,64,servi
2 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP961-2,UN,80,0,15.0,69.92,servi
2 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-2,UN,80,0,184.0,30.39,servi
"2 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira",MLB2663962277,UN,46.8,0,0.0,0,servi
"2 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura",IP966-2,UN,46.8,0,56.0,0,servi
"2 Placa De Acrilico Para Ensaio Fotográfico Petg 0,5mm 1mx2m",IP1078-2,UN,217.8,0,50.0,0,servi
2 Placa De Ps Poliestireno Tam 2x1 Espessura 1 Mm,MLB2616310339,UN,180.5,0,0.0,0,servi
2 Placa De Ps Poliestireno Tam 2x1 Espessura 1 Mm - BRANCO,IP30-2,UN,180.5,0,8.0,47.69,servi
"2 Placas Chapa Polionda Plastionda Branca 3 Mm 1,30x2,00",IP1080-2,UN,159.8,0,21.0,71.86,servi
"2 Placas Polionda Plastionda Branca 4 Mm 1,30x2,00",IP1111-2,UN,122.2,0,33.0,107.68,servi
2 Primer Para Acm Promotor De Aderência Adere 940ml Vhb,IP1395-2,UN,445,0,14.0,203.48,servi
2 Primer/promotor De Aderência Para Acm I9 Embalagem 900ml,IP1023-2,UN,171.53,0,31.0,72.4,servi
2 Ps Luminaria Translucida 1mm 2metros X 1metro,IP1215-2,UN,222.3,0,215.0,0,servi
2 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-2,UN,74,0,199.0,19.69,servi
2 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-2,UN,48.5,0,177.0,14.72,servi
2 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-2,UN,30,0,407.0,7.34,servi
2 UND PANO MICROFIBRA 39X39 AZUL SK2 - 63-2170,IP769,UN,23,0,0.0,9.14,servi
20 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery,MLB3464575031,UN,130,0,0.0,0,servi
20 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery - Vermelho/Branco,KIT-968-20-969,UN,130,0,-28.0,64.66,servi
25 Peças De Lamina Raspador Ratinho Insulfilme Adesivo,MLB2179946103,UN,40.54,0,0.0,0,servi
25 Peças De Lamina Raspador Ratinho Insulfilme Adesivo - 25 lamina de ferro para ratinho,IP181-25,UN,40.54,0,29.0,16.25,servi
"26 Placa Chapa Pvc Transparente Cristal 120 X 60 Cm X 0,70mm",IP794-26,UN,1254,0,3.0,609.18,servi
"3 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-3,UN,139.65,0,164.0,0,servi
"3 Chapa Placa Ps Psai 1 Mm 1,30 X 3,00 Pvc Branco",IP1099-3,UN,294.26,0,1.0,0,servi
"3 Chapa Placa Ps Psai 2 Mm 1,30 X 3,00 Pvc Branco",IP905-3,UN,517.75,0,-4.0,290.75,servi
"3 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-03,UN,110,0,25.0,29.22,servi
3 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-3,UN,187.53,0,6.0,71.53,servi
3 Espatula De Feltro Anti Risco Para Envelopamento E Adesivo,IP38-3,UN,63.37,0,27.0,29.87,servi
3 Espatulas De Silicone Com Feltro Envelopamento De Adesivos,MLB2927316018,UN,36.67,0,0.0,0,servi
3 Espatulas De Silicone Com Feltro Envelopamento De Adesivos - 3 ESPÁTULA VARIAS CORES E 3 FELTROS PRETO ORAMA,KIT-172-39-3,UN,36.67,0,335.0,6.27,servi
3 Faixas Refletivas P/ Parachoque De Caminhão Avery Original,MLB3452682042,UN,178.6,0,0.0,0,servi
3 Faixas Refletivas P/ Parachoque De Caminhão Avery Original - Vermelho/Branco,IP969-3,UN,178.6,0,3.0,96,servi
3 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-3,UN,110,0,133.0,29.53,servi
3 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-3,UN,120,0,123.0,45.59,servi
3 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP961-3,UN,120,0,10.0,104.87,servi
"3 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura",MLB2664022147,UN,65.04,0,0.0,0,servi
"3 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura - MANTA ADESIVADA",IP966-3,UN,65.04,0,38.0,0,servi
"3 Placa De Acrilico P Ensaio Fotográfico Pvc 0,30mm 60x1,20",IP793-3,UN,99,0,0.0,0,servi
"3 Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-3,UN,90,0,149.0,0,servi
3 Ps Luminaria Translucida 1mm Tam 2x1,IP1215-3,un,310.2,0,143.0,0,servi
3 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-3,UN,78,0,117.0,22.08,servi
3 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-3,UN,54.88,0,271.0,11.01,servi
"30 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc",IP607-30,UN,714.11,0,14.0,0,servi
35 Fita Dupla Face Saint Gobain Para Acm 20 Metros -15mmx20m,IP962-35,UN,1500,0,1.0,420.7,servi
"4 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-4,UN,174.56,0,122.0,0,servi
"4 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-4,UN,122,0,18.0,38.96,servi
4 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-4,UN,234.41,0,5.0,95.37,servi
4 Espatula De Feltro Anti Risco Para Envelopamento E Adesivo,IP38-4,UN,80.48,0,21.0,39.83,servi
4 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery,MLB3464554299,UN,95.95,0,0.0,0,servi
4 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery - Vermelho/Branco,KIT-968-4-969,UN,95.95,0,-205.0,38.53,servi
4 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-4,UN,148,0,99.0,39.37,servi
