Número,Data da venda,E-commerce,origem
1,08/03/2024,Mercado Livre,imp
2,08/03/2024,Mercado Livre,imp
3,08/03/2024,Mercado Livre,imp
4,08/03/2024,Mercado Livre,imp
5,08/03/2024,Mercado Livre,imp
6,08/03/2024,Mercado Livre,imp
7,08/03/2024,Mercado Livre,imp
8,08/03/2024,Mercado Livre,imp
9,08/03/2024,Mercado Livre,imp
10,08/03/2024,Mercado Livre,imp
11,08/03/2024,Mercado Livre,imp
12,08/03/2024,Mercado Livre,imp
13,28/02/2024,Mercado Livre,imp
14,06/03/2024,Mercado Livre,imp
15,08/03/2024,Mercado Livre,imp
16,07/03/2024,Mercado Livre,imp
17,07/03/2024,Mercado Livre,imp
18,07/03/2024,Mercado Livre,imp
19,06/03/2024,Mercado Livre,imp
20,07/03/2024,Mercado Livre,imp
21,07/03/2024,Mercado Livre,imp
22,08/03/2024,Mercado Livre,imp
23,07/03/2024,Mercado Livre,imp
24,08/03/2024,Mercado Livre,imp
25,29/02/2024,Mercado Livre,imp
26,07/03/2024,Mercado Livre,imp
27,07/03/2024,Mercado Livre,imp
28,07/03/2024,Mercado Livre,imp
29,07/03/2024,Mercado Livre,imp
30,03/03/2024,Mercado Livre,imp
31,02/03/2024,Mercado Livre,imp
32,09/03/2024,Mercado Livre,imp
33,04/03/2024,Mercado Livre,imp
34,06/03/2024,Mercado Livre,imp
35,06/03/2024,Mercado Livre,imp
36,06/03/2024,Mercado Livre,imp
37,06/03/2024,Mercado Livre,imp
38,06/03/2024,Mercado Livre,imp
39,09/03/2024,Mercado Livre,imp
40,09/03/2024,Mercado Livre,imp
41,04/03/2024,Mercado Livre,imp
42,09/03/2024,Mercado Livre,imp
43,09/03/2024,Mercado Livre,imp
44,29/02/2024,Mercado Livre,imp
45,02/03/2024,Mercado Livre,imp
46,09/03/2024,Mercado Livre,imp
47,09/03/2024,Mercado Livre,imp
48,10/03/2024,Mercado Livre,imp
49,01/03/2024,Mercado Livre,imp
50,10/03/2024,Mercado Livre,imp
51,10/03/2024,Mercado Livre,imp
52,10/03/2024,Mercado Livre,imp
53,05/03/2024,Mercado Livre,imp
54,11/03/2024,Mercado Livre,imp
55,11/03/2024,Mercado Livre,imp
56,11/03/2024,Mercado Livre,imp
57,03/03/2024,Mercado Livre,imp
58,04/03/2024,Mercado Livre,imp
59,11/03/2024,Mercado Livre,imp
61,11/03/2024,Mercado Livre,imp
62,03/03/2024,Mercado Livre,imp
63,11/03/2024,Mercado Livre,imp
64,11/03/2024,Mercado Livre,imp
65,12/03/2024,Mercado Livre,imp
66,12/03/2024,Mercado Livre,imp
67,12/03/2024,Mercado Livre,imp
68,11/03/2024,Mercado Livre,imp
69,12/03/2024,Mercado Livre,imp
70,13/03/2024,Mercado Livre,imp
71,06/03/2024,Mercado Livre,imp
72,13/03/2024,Mercado Livre,imp
73,13/03/2024,Mercado Livre,imp
74,13/03/2024,Mercado Livre,imp
75,13/03/2024,Mercado Livre,imp
76,13/03/2024,Mercado Livre,imp
77,13/03/2024,Mercado Livre,imp
78,13/03/2024,Mercado Livre,imp
79,13/03/2024,Mercado Livre,imp
80,13/03/2024,Mercado Livre,imp
81,13/03/2024,Mercado Livre,imp
82,13/03/2024,Mercado Livre,imp
83,13/03/2024,Mercado Livre,imp
84,13/03/2024,Mercado Livre,imp
85,13/03/2024,Mercado Livre,imp
86,13/03/2024,Mercado Livre,imp
87,13/03/2024,Mercado Livre,imp
88,13/03/2024,Mercado Livre,imp
89,14/03/2024,Mercado Livre,imp
